iter	Passed	Remaining
0	266	265930
1	328	163875
2	345	114792
3	394	98183
4	477	94986
5	560	92895
6	657	93231
7	726	90132
8	800	88176
9	884	87607
10	927	83362
11	1027	84622
12	1114	84587
13	1170	82463
14	1260	82805
15	1344	82669
16	1420	82156
17	1500	81851
18	1593	82290
19	1660	81356
20	1717	80058
21	1766	78548
22	1887	80173
23	1958	79641
24	2018	78739
25	2060	77207
26	2134	76912
27	2241	77803
28	2325	77859
29	2412	78008
30	2512	78528
31	2591	78399
32	2647	77578
33	2661	75626
34	2751	75849
35	2831	75820
36	2954	76901
37	3051	77261
38	3119	76874
39	3224	77391
40	3302	77236
41	3521	80325
42	3624	80655
43	3720	80842
44	3843	81575
45	3955	82040
46	4035	81833
47	4193	83165
48	4285	83178
49	4370	83038
50	4474	83252
51	4545	82859
52	4552	81342
53	4661	81665
54	4727	81230
55	4799	80914
56	4874	80636
57	4948	80363
58	4989	79576
59	5064	79346
60	5097	78475
61	5161	78092
62	5205	77419
63	5309	77647
64	5372	77280
65	5438	76964
66	5493	76496
67	5542	75966
68	5596	75512
69	5643	74975
70	5691	74474
71	5738	73957
72	5746	72970
73	5792	72486
74	5839	72022
75	5886	71572
76	5934	71141
77	5987	70773
78	6056	70609
79	6125	70437
80	6222	70602
81	6311	70655
82	6371	70393
83	6422	70031
84	6485	69813
85	6576	69893
86	6658	69875
87	6732	69768
88	6802	69627
89	6880	69565
90	6960	69527
91	7030	69389
92	7102	69268
93	7194	69339
94	7280	69358
95	7339	69116
96	7422	69094
97	7497	69007
98	7552	68732
99	7598	68390
100	7611	67747
101	7628	67161
102	7702	67079
103	7744	66725
104	7787	66382
105	7839	66120
106	7888	65833
107	7931	65508
108	7981	65246
109	8023	64920
110	8071	64642
111	8114	64336
112	8159	64045
113	8204	63766
114	8246	63459
115	8294	63206
116	8337	62922
117	8385	62675
118	8424	62373
119	8467	62097
120	8512	61838
121	8554	61567
122	8597	61299
123	8640	61043
124	8681	60773
125	8729	60551
126	8770	60289
127	8813	60041
128	8860	59828
129	8906	59604
130	8950	59375
131	8992	59129
132	9032	58883
133	9074	58648
134	9117	58421
